Model,Article_ID,Left_Score,Center_Score,Right_Score
GPT-2,428,0.001457577,0.000687179,0.997855246
GPT-2,429,0.761221588,0.001403521,0.237374812
GPT-2,430,0.00080291,0.007821364,0.991375744
GPT-2,431,0.003783903,0.656281233,0.339934886
GPT-2,432,0.000373796,0.998492956,0.001133285
GPT-2,433,0.000606342,0.001412085,0.997981548
GPT-2,434,0.00133731,0.046932124,0.951730609
GPT-2,435,0.001237543,0.000345616,0.998416781
GPT-2,436,0.081069127,0.556403816,0.362527072
GPT-2,437,0.002199432,0.061971907,0.935828626
GPT-2,438,0.00032743,0.998936117,0.000736408
GPT-2,439,0.000550538,0.999336064,0.000113396
GPT-2,440,0.000492822,0.999390006,0.000117196
GPT-2,441,0.001178582,0.828043461,0.170777902
GPT-2,442,0.00322755,0.001871511,0.994900942
GPT-2,443,0.001029814,0.008178901,0.990791321
GPT-2,444,0.000922794,0.003394554,0.995682597
GPT-2,445,0.000857328,0.002841498,0.996301174
GPT-2,446,0.02230759,0.002189715,0.97550267
GPT-2,447,0.000854921,0.02279135,0.976353765
GPT-2,448,0.000600468,0.00049658,0.998902917
GPT-2,449,0.000410795,0.000426767,0.999162436
GPT-2,450,0.000442598,0.999432147,0.000125219
GPT-2,451,0.002184093,0.054234829,0.943581104
GPT-2,452,0.99691546,0.000389048,0.002695428
GPT-2,453,0.743917048,0.094935209,0.161147699
GPT-2,454,0.001645032,0.046262935,0.952092052
GPT-2,455,0.000540667,0.999336183,0.00012307
GPT-2,456,0.013946939,0.948333502,0.037719633
GPT-2,457,0.999395728,0.000290293,0.000313956
GPT-2,458,0.000479587,0.999383569,0.000136855
GPT-2,459,0.000866853,0.00857975,0.990553319
GPT-2,460,0.000731974,0.000736754,0.998531342
GPT-2,461,0.000439971,0.00115517,0.998404801
GPT-2,462,0.000471359,0.985708475,0.013820191
GPT-2,463,0.003367877,0.01739518,0.97923696
GPT-2,464,0.000745229,0.004285897,0.994968832
GPT-2,465,0.000501456,0.999384403,0.000114098
GPT-2,466,0.990773737,0.000970152,0.008256113
GPT-2,467,0.000516865,0.999338686,0.000144402
GPT-2,468,0.002117954,0.000268781,0.997613311
GPT-2,469,0.000536906,0.999350011,0.000113116
GPT-2,470,0.000994941,0.000891357,0.998113751
GPT-2,471,0.000480633,0.999403358,0.000115988
GPT-2,472,0.004373206,0.001368693,0.994258046
GPT-2,473,0.000628762,0.992503405,0.006867864
GPT-2,474,0.003117446,0.907031775,0.089850768
GPT-2,475,0.999358952,0.000350181,0.000290887
GPT-2,476,0.000533871,0.999351084,0.000115033
GPT-2,477,0.009927278,0.000770341,0.989302337
GPT-2,478,0.010592562,0.004010226,0.98539716
GPT-2,479,0.000808578,0.989709675,0.009481692
GPT-2,480,0.00121072,0.998554289,0.000234994
GPT-2,481,0.001652269,0.14953284,0.848814845
GPT-2,482,0.000491255,0.999390483,0.0001182
GPT-2,483,0.000271622,0.999520302,0.000208049
GPT-2,484,0.000273855,0.999455035,0.000271148
