neuron_id,layer,pearson_correlation
78,11,-0.427182638
78,12,-0.706917597
79,1,0.102609154
79,2,-0.107513882
79,3,-0.325267684
79,4,-0.340696773
79,5,-0.381469205
79,6,-0.311083987
79,7,-0.544320186
79,8,0.099471489
79,9,-0.300225084
79,10,0.151502226
79,11,0.49350663
79,12,0.736367815
80,1,-0.261430407
80,2,-0.414207085
80,3,-0.649864066
80,4,0.176728515
80,5,-0.174880501
80,6,-0.071483863
80,7,-0.252410105
80,8,0.084898105
80,9,-0.336799283
80,10,-0.23274211
80,11,0.368750977
80,12,-0.291846513
81,1,0.374204482
81,2,0.492452271
81,3,-0.006146594
81,4,0.343209819
81,5,0.126646176
81,6,-0.425104392
81,7,-0.430694174
81,8,-0.431567008
81,9,-0.612866935
81,10,-0.555917289
81,11,-0.275390931
81,12,-0.244759995
82,1,0.29084234
82,2,0.039064421
82,3,-0.436019847
82,4,0.152627589
82,5,0.120391925
82,6,-0.586426102
82,7,0.631411134
82,8,0.271458856
82,9,-0.213170316
82,10,0.477289223
82,11,-0.345132634
82,12,0.127854937
83,1,0.162547826
83,2,0.431565379
83,3,0.783403929
83,4,0.596810466
83,5,0.513529078
83,6,-0.064512803
83,7,0.1881207
83,8,-0.405224885
83,9,0.170245901
83,10,-0.13210094
83,11,-0.182157837
83,12,0.488690641
84,1,0.034509923
84,2,0.106322205
84,3,-0.379395035
84,4,-0.351813169
84,5,-0.356851331
84,6,-0.655383155
84,7,-0.588956563
84,8,-0.480489126
84,9,-0.334947831
84,10,-0.038173238
84,11,-0.360892016
84,12,-0.476077153
85,1,0.016112741
85,2,-0.424177387
85,3,-0.090661144
85,4,0.017116627
85,5,0.203928332
85,6,-0.590767561
85,7,0.201089729
85,8,0.340046994
85,9,-0.162449734
85,10,-0.257525214
85,11,-0.701576708
85,12,-0.097467048
86,1,0.261205183
86,2,0.218573119
86,3,0.6546859
86,4,-0.309700867
86,5,0.664038516
86,6,0.1472823
86,7,-0.266720329
86,8,0.485566933
86,9,0.471541566
86,10,0.398322627
86,11,0.567550622
86,12,0.587848151
87,1,-0.429296563
87,2,0.071938131
87,3,0.068292515
87,4,-0.000942753
87,5,-0.535581018
87,6,0.244030434
87,7,0.28435482
87,8,0.595645186
87,9,0.652870797
87,10,0.581259895
87,11,0.038741611
87,12,0.728262479
88,1,-0.250649633
88,2,-0.638777077
88,3,-0.213428845
88,4,0.167903005
88,5,-0.623310335
88,6,0.348415937
88,7,0.471053938
88,8,-0.564741028
88,9,-0.194311109
88,10,0.43988427
88,11,0.353983463
88,12,0.716859467
89,1,-0.082205856
89,2,-0.364881048
89,3,-0.295696671
89,4,0.099712599
89,5,-0.350459367
89,6,-0.456878126
89,7,-0.466742371
89,8,0.048872168
89,9,-0.343351273
89,10,-0.520625135
89,11,-0.599718499
89,12,-0.240839868
90,1,0.059836179
90,2,0.505252702
90,3,0.54893618
90,4,0.470892938
90,5,0.539626516
90,6,0.728193987
90,7,0.57744317
90,8,0.134790704
90,9,0.056350437
90,10,-0.367330778
90,11,-0.255096646
