neuron_id,layer,pearson_correlation
96,12,-0.274151614
97,1,-0.319916775
97,2,-0.226424615
97,3,0.493972744
97,4,-0.088243759
97,5,0.087733464
97,6,0.38341475
97,7,0.20480232
97,8,0.312191808
97,9,-0.210363941
97,10,-0.646745767
97,11,-0.360972652
97,12,0.171390061
98,1,0.464460907
98,2,-0.367166586
98,3,0.259859797
98,4,-0.358539443
98,5,0.140596051
98,6,-0.252961809
98,7,-0.549135723
98,8,-0.273109069
98,9,-0.566399778
98,10,-0.722925629
98,11,-0.042843268
98,12,0.053416441
99,1,-0.345209914
99,2,0.589162065
99,3,-0.062799688
99,4,0.108475397
99,5,0.127138646
99,6,0.494792983
99,7,0.192903378
99,8,0.28760609
99,9,0.002049252
99,10,-0.000861239
99,11,-0.530877441
99,12,-0.097854081
100,1,-0.262639203
100,2,-0.757800907
100,3,-0.677648325
100,4,-0.748007042
100,5,-0.577213574
100,6,0.227436166
100,7,-0.584932665
100,8,-0.485551441
100,9,-0.610218047
100,10,-0.07320483
100,11,-0.558437423
100,12,-0.498944024
101,1,0.377243104
101,2,0.544725576
101,3,0.678965489
101,4,0.228408379
101,5,0.516037648
101,6,-0.39384429
101,7,0.251335476
101,8,0.532015247
101,9,0.419196234
101,10,-0.397495177
101,11,-0.405442339
101,12,-0.433806475
102,1,0.641127202
102,2,-0.316213487
102,3,-0.634787759
102,4,-0.577599375
102,5,0.248748704
102,6,0.178533945
102,7,-0.483185576
102,8,-0.523315953
102,9,0.721787733
102,10,-0.29415766
102,11,-0.511758557
102,12,0.110892917
103,1,0.440474459
103,2,0.301117425
103,3,0.730308674
103,4,0.384669714
103,5,0.742441396
103,6,0.555313063
103,7,0.373849496
103,8,0.305587113
103,9,0.033016206
103,10,0.178147867
103,11,0.564459655
103,12,0.168348121
104,1,-0.111932864
104,2,0.508450259
104,3,-0.060103897
104,4,-0.207099339
104,5,0.048617632
104,6,0.408039929
104,7,0.12608748
104,8,-0.267045297
104,9,0.284542622
104,10,0.320052271
104,11,-0.105699207
104,12,-0.292874502
105,1,0.594404254
105,2,0.62945016
105,3,-0.441647919
105,4,-0.034305777
105,5,-0.211947913
105,6,-0.271150041
105,7,-0.030614391
105,8,-0.227705622
105,9,0.26721875
105,10,-0.03831897
105,11,0.382230784
105,12,0.490796982
106,1,-0.603542731
106,2,0.125538476
106,3,-0.63019359
106,4,0.286388542
106,5,-0.172546214
106,6,-0.176051628
106,7,-0.064407944
106,8,-0.07324563
106,9,-0.391566106
106,10,-0.395355568
106,11,0.035245998
106,12,0.587974895
107,1,0.284970444
107,2,0.548055688
107,3,0.01965571
107,4,0.667845229
107,5,-0.174919449
107,6,0.246772102
107,7,0.591797909
107,8,0.064649971
107,9,0.163841591
107,10,0.02328147
107,11,0.356888606
107,12,0.390369872
108,1,-0.626808458
108,2,-0.034993914
108,3,0.159320025
108,4,0.364788846
108,5,0.496963013
108,6,0.443322356
108,7,0.353655666
108,8,0.227019209
108,9,-0.051455171
108,10,0.141014391
108,11,-0.440249144
108,12,0.363008082
109,1,-0.192804294
109,2,0.168999574
109,3,0.182596063
109,4,-0.605230093
109,5,-0.280822026
109,6,0.073191505
109,7,0.296535184
109,8,-0.335155451
109,9,-0.033257228
109,10,-0.529586702
109,11,-0.429362699
109,12,-0.484399901
110,1,0.296202646
110,2,-0.299771662
110,3,-0.061809384
110,4,0.265863991
110,5,0.158213421
110,6,0.399226366
110,7,-0.047239365
110,8,0.110954367
110,9,0.145557149
110,10,0.131727644
110,11,0.641204961
110,12,0.481980265
111,1,-0.218981266
111,2,-0.263724662
111,3,0.232006488
111,4,-0.76910573
111,5,-0.511523049
111,6,-0.73197272
111,7,-0.188484301
111,8,0.464552537
